Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2013,Homer Bailey,Reds,11,12,3.49,32,2,1,209,849,181,85,81,20,54,2,10,5,199,0
2013,Jorge De La Rosa,Rockies,16,6,3.49,30,0,0,167.2,714,170,70,65,11,62,5,5,5,112,0
2017,Jimmy Nelson,Brewers,12,6,3.49,29,1,0,175.1,728,171,75,68,16,48,1,9,6,199,0
2009,Joel Pineiro,Cardinals,15,12,3.49,32,3,2,214,865,218,94,83,11,27,1,8,4,105,0
2014,Yovani Gallardo,Brewers,8,11,3.51,32,0,0,192.1,817,195,86,75,21,54,2,4,8,146,0
2012,A.J. Burnett,Pirates,16,10,3.51,31,1,1,202.1,851,189,86,79,18,62,1,9,10,180,0
2011,Yovani Gallardo,Brewers,17,10,3.52,33,1,1,207.1,865,193,92,81,27,59,1,1,12,207,0
2013,Jeff Locke,Pirates,10,7,3.52,30,0,0,166.1,711,146,69,65,11,84,4,6,8,125,0
2017,Jake Arrieta,Cubs,14,10,3.53,30,0,0,168.1,707,150,82,66,23,55,3,10,14,163,0
2017,Jacob deGrom,Mets,15,10,3.53,31,1,0,201.1,827,180,87,79,28,59,5,2,7,239,0
2014,Wily Peralta,Brewers,17,11,3.53,32,0,0,198.2,838,198,88,78,23,61,0,7,7,154,0
2017,Aaron Nola,Phillies,12,11,3.54,27,0,0,168,693,154,67,66,18,49,2,2,1,184,0
2008,Roy Oswalt,Astros,17,10,3.54,32,3,2,208.2,862,199,89,82,23,47,2,10,1,165,0
2014,Kyle Lohse,Brewers,13,9,3.54,31,2,2,198.1,817,183,87,78,22,45,0,8,1,141,0
2014,Josh Collmenter,Diamondbacks,10,9,3.54,28,1,1,170.1,683,155,73,67,17,35,2,4,2,110,0
2011,Shaun Marcum,Brewers,13,7,3.54,33,0,0,200.2,823,175,84,79,22,57,3,0,6,158,0
2014,Zack Wheeler,Mets,11,11,3.54,32,1,1,185.1,794,167,84,73,14,79,3,11,9,187,0
2013,Wade Miley,Diamondbacks,10,10,3.55,33,0,0,202.2,847,201,88,80,21,66,4,4,13,147,0
2010,Anibal Sanchez,Marlins,13,12,3.55,32,1,1,195,841,192,89,77,10,70,5,7,7,157,0
