Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9,y
2012,Jordan Zimmermann,Nationals,3.3,12,2.94,195.2,2093,8,3.51,18,1.98,0
2017,Gio Gonzalez,Nationals,3.4,15,2.96,201,2024,9,3.93,21,3.54,0
2016,Max Scherzer,Nationals,5.7,20,2.96,228.1,2418,7,3.24,31,2.21,1
2008,Ryan Dempster,Cubs,4.7,17,2.96,206.2,2109,6,3.41,14,3.31,0
2014,Madison Bumgarner,Giants,4,18,2.98,217.1,2290,10,3.05,21,1.78,0
2010,Johan Santana,Mets,3.5,11,2.98,199,2031,9,3.54,16,2.49,0
2013,Stephen Strasburg,Nationals,3.3,8,3,183,1804,9,3.21,16,2.75,0
2013,Hyun-Jin Ryu,Dodgers,3.6,14,3,192,1979,8,3.24,15,2.3,0
2007,Brandon Webb,Diamondbacks,6.2,18,3.01,236.1,2228,10,3.24,12,2.74,0
2009,Wandy Rodriguez,Astros,4.1,14,3.02,205.2,2170,12,3.54,21,2.76,0
2015,Shelby Miller,Braves,3.4,6,3.02,205.1,2127,17,3.45,13,3.2,0
2015,Lance Lynn,Cardinals,3.1,12,3.03,175.1,1877,11,3.44,13,3.49,0
2007,Brad Penny,Dodgers,4.4,16,3.03,208,2080,4,3.63,9,3.16,0
2015,Carlos Martinez,Cardinals,3.5,14,3.04,174.2,1787,6,3.16,13,2.99,0
2016,Carlos Martinez,Cardinals,3.3,16,3.04,195.1,1961,9,3.61,15,3.23,0
2012,Cole Hamels,Phillies,4.6,17,3.05,215.1,2203,6,3.3,24,2.17,0
2010,Cole Hamels,Phillies,3.5,12,3.06,208.2,2220,11,3.67,26,2.63,0
2013,Shelby Miller,Cardinals,2.4,15,3.06,173.1,1955,9,3.67,20,2.96,0
2014,Edinson Volquez,Pirates,0.9,13,3.07,190.2,1881,7,4.18,17,3.35,0
2011,Hiroki Kuroda,Dodgers,2.7,13,3.07,202,2041,16,3.78,24,2.18,0
2010,Jonathan Sanchez,Giants,2.3,13,3.08,193,1987,9,4,21,4.48,0
2008,Ben Sheets,Brewers,4.7,13,3.09,198.1,2002,9,3.38,17,2.13,0
2008,Cole Hamels,Phillies,4.8,14,3.09,227.1,2292,10,3.72,28,2.1,0
2016,Jake Arrieta,Cubs,3.8,18,3.1,197.1,1972,8,3.52,16,3.47,0
2009,Ted Lilly,Cubs,3.7,12,3.1,177,1816,9,3.65,22,1.83,0
2013,Travis Wood,Cubs,2.7,9,3.11,200,1999,12,3.89,18,2.97,0
2007,John Smoltz,Braves,5.5,14,3.11,205.2,2069,8,3.21,18,2.06,0
2013,Kris Medlen,Braves,2.8,15,3.11,194,1978,11,3.42,17,2.13,0
2007,Chris Young,Padres,4.3,9,3.12,173,1844,8,3.43,10,3.75,0
